57.61	119.54	-62.73
57.61	115.99	-62.73
59.96	115.99	-63.88
59.96	115.99	-63.88
57.61	115.99	-63.88
56.44	114.81	-65.02
57.61	115.99	-66.16
56.44	114.81	-62.73
58.79	115.99	-63.88
58.79	115.99	-63.88
56.44	117.18	-66.16
58.79	115.99	-65.02
58.79	117.18	-63.88
58.79	115.99	-63.88
59.96	113.62	-65.02
59.96	113.62	-65.02
57.61	115.99	-63.88
57.61	117.18	-62.73
56.44	114.81	-67.3
59.96	115.99	-62.73
56.44	115.99	-66.16
56.44	115.99	-66.16
58.79	117.18	-63.88
57.61	113.62	-63.88
57.61	115.99	-65.02
57.61	-169.25	-1.14
59.96	108.89	-68.44
59.96	108.89	-68.44
18.81	97.05	-73.0
7.05	99.42	-77.56
7.05	99.42	-77.56
7.05	99.42	-77.56
7.05	99.42	-77.56
21.16	129.01	-60.45
44.68	132.56	-58.17
58.79	136.11	-68.44
63.49	119.54	-76.42
61.14	111.26	-88.97
59.96	111.26	-96.95
59.96	111.26	-96.95
57.61	118.36	-107.22
50.56	130.2	-111.78
52.91	132.56	-109.5
52.91	136.11	-108.36
48.21	138.48	-107.22
48.21	138.48	-107.22
56.44	133.75	-106.08
64.67	120.73	-95.81
62.32	118.36	-92.39
62.32	119.54	-101.52
57.61	131.38	-110.64
57.61	131.38	-110.64
45.86	139.66	-114.06
37.63	151.5	-110.64
31.75	153.87	-102.66
28.22	157.42	-95.81
31.75	159.79	-76.42
31.75	159.79	-76.42
42.33	155.05	-70.72
56.44	150.32	-77.56
63.49	134.93	-78.7
63.49	114.81	-87.83
52.91	97.05	-91.25
52.91	97.05	-91.25
51.73	97.05	-94.67
63.49	111.26	-91.25
61.14	113.62	-85.55
50.56	101.79	-93.53
36.45	89.95	-90.11
36.45	89.95	-90.11
2.35	108.89	-86.69
2.35	115.99	-82.12
11.76	129.01	-63.88
38.8	127.83	-57.03
61.14	127.83	-74.14
61.14	127.83	-74.14
63.49	126.64	-84.41
65.84	127.83	-95.81
59.96	114.81	-98.09
57.61	112.44	-98.09
61.14	114.81	-102.66
61.14	114.81	-102.66
61.14	114.81	-102.66
45.86	115.99	-119.77
32.92	132.56	-120.91
22.34	139.66	-115.2
31.75	142.03	-112.92
47.03	147.95	-109.5
47.03	147.95	-109.5
52.91	149.13	-102.66
44.68	157.42	-93.53
43.5	155.05	-93.53
48.21	156.23	-94.67
44.68	153.87	-90.11
44.68	153.87	-90.11
47.03	159.79	-82.12
50.56	151.5	-82.12
62.32	134.93	-91.25
62.32	132.56	-96.95
63.49	112.44	-91.25
63.49	112.44	-91.25
36.45	93.5	-79.84
16.46	100.61	-74.14
4.7	111.26	-75.28
7.05	117.18	-75.28
27.04	127.83	-59.31
27.04	127.83	-59.31
61.14	125.46	-75.28
62.32	129.01	-88.97
62.32	121.91	-93.53
61.14	121.91	-78.7
61.14	112.44	-87.83
61.14	112.44	-87.83
51.73	99.42	-90.11
29.39	91.14	-95.81
30.57	93.5	-88.97
16.46	99.42	-78.7
21.16	117.18	-63.88
21.16	117.18	-63.88
43.5	146.77	-61.59
55.26	146.77	-76.42
57.61	142.03	-74.14
50.56	133.75	-62.73
45.86	130.2	-55.89
45.86	130.2	-55.89
38.8	127.83	-58.17
34.1	129.01	-60.45
31.75	117.18	-62.73
37.63	120.73	-65.02
50.56	143.21	-70.72
50.56	143.21	-70.72
37.63	160.97	-77.56
14.11	158.6	-75.28
9.41	155.05	-73.0
4.7	138.48	-67.3
8.23	124.28	-68.44
8.23	124.28	-68.44
9.41	125.46	-61.59
18.81	113.62	-67.3
9.41	102.97	-87.83
5.88	104.16	-96.95
3.53	119.54	-104.94
3.53	119.54	-104.94
17.64	139.66	-115.2
21.16	150.32	-106.08
24.69	159.79	-98.09
17.64	163.34	-82.12
8.23	156.23	-76.42
8.23	156.23	-76.42
14.11	153.87	-74.14
24.69	134.93	-61.59
41.15	118.36	-60.45
51.73	114.81	-68.44
39.98	105.34	-69.58
39.98	105.34	-69.58
30.57	106.52	-68.44
31.75	112.44	-61.59
45.86	143.21	-60.45
58.79	150.32	-74.14
62.32	147.95	-88.97
62.32	147.95	-88.97
61.14	144.4	-92.39
61.14	143.21	-84.41
59.96	136.11	-75.28
52.91	123.09	-62.73
39.98	119.54	-61.59
39.98	119.54	-61.59
48.21	118.36	-66.16
49.38	114.81	-69.58
47.03	113.62	-66.16
37.63	110.07	-66.16
37.63	113.62	-65.02
37.63	113.62	-65.02
48.21	153.87	-70.72
49.38	153.87	-71.86
45.86	156.23	-68.44
52.91	151.5	-69.58
61.14	149.13	-77.56
61.14	149.13	-77.56
62.32	132.56	-88.97
59.96	129.01	-85.55
58.79	130.2	-82.12
49.38	117.18	-71.86
43.5	143.21	-62.73
43.5	143.21	-62.73
14.11	156.23	-68.44
3.53	155.05	-73.0
0.0	149.13	-82.12
3.53	150.32	-94.67
2.35	146.77	-100.37
2.35	146.77	-100.37
1.18	139.66	-104.94
4.7	139.66	-107.22
9.41	152.68	-99.23
10.58	158.6	-94.67
17.64	160.97	-90.11
17.64	160.97	-90.11
16.46	162.15	-80.98
27.04	165.7	-74.14
44.68	159.79	-67.3
55.26	142.03	-60.45
65.84	137.3	-78.7
65.84	137.3	-78.7
65.84	130.2	-85.55
61.14	117.18	-80.98
57.61	117.18	-80.98
51.73	124.28	-69.58
49.38	134.93	-62.73
49.38	134.93	-62.73
27.04	166.89	-67.3
23.52	172.8	-94.67
17.64	166.89	-102.66
5.88	146.77	-102.66
11.76	125.46	-111.78
11.76	125.46	-111.78
8.23	129.01	-110.64
11.76	134.93	-112.92
11.76	134.93	-112.92
11.76	138.48	-110.64
17.64	147.95	-109.5
17.64	147.95	-109.5
12.93	155.05	-103.8
17.64	159.79	-99.23
17.64	164.52	-94.67
18.81	162.15	-92.39
19.99	164.52	-78.7
19.99	164.52	-78.7
29.39	160.97	-68.44
38.8	150.32	-60.45
43.5	146.77	-59.31
41.15	139.66	-57.03
48.21	134.93	-60.45
48.21	134.93	-60.45
49.38	125.46	-63.88
52.91	121.91	-62.73
55.26	120.73	-68.44
51.73	110.07	-75.28
54.09	106.52	-75.28
54.09	106.52	-75.28
57.61	106.52	-77.56
54.09	107.71	-76.42
54.09	101.79	-85.55
48.21	94.69	-87.83
48.21	94.69	-84.41
48.21	94.69	-84.41
50.56	98.24	-76.42
52.91	98.24	-77.56
54.09	99.42	-82.12
56.44	99.42	-79.84
57.61	98.24	-79.84
57.61	98.24	-79.84
58.79	99.42	-77.56
57.61	98.24	-78.7
56.44	100.61	-75.28
59.96	102.97	-74.14
61.14	102.97	-79.84
61.14	102.97	-79.84
57.61	101.79	-82.12
59.96	102.97	-74.14
59.96	105.34	-78.7
58.79	100.61	-77.56
56.44	102.97	-76.42
56.44	102.97	-76.42
57.61	100.61	-79.84
